"Year,month",region,Leads_per_ad
2019-01,Selangor,8.440201534216712
2019-02,Selangor,8.352027856744742
2019-03,Selangor,8.158728650303688
2019-04,Selangor,8.075651855824587
2019-05,Selangor,7.870127945627356
2019-06,Selangor,7.762366086921914
2019-07,Selangor,8.152807507036465
2019-08,Selangor,8.01037974345579
2019-09,Selangor,8.152105420083574
2019-10,Selangor,8.068993881766842
2019-11,Selangor,8.123662872893659
2019-12,Selangor,8.379907005707146
2020-01,Selangor,8.417433972188457
2020-02,Selangor,8.293870613063985
2020-03,Selangor,8.03536725069725
2020-04,Selangor,8.363692500623825
2020-05,Selangor,9.19445158120568
2020-06,Selangor,9.21426839436403
2020-07,Selangor,7.901027988131675
2020-08,Selangor,7.759853485278092
2020-09,Selangor,7.843678140164689
2020-10,Selangor,7.612293797030549
2020-11,Selangor,7.862169351457216
2020-12,Selangor,8.02361801971191
2021-01,Selangor,8.65567679586344
2021-02,Selangor,8.69805818069345
2021-03,Selangor,8.980722367061174
